code,name
codemao1,lookingaround
codemao2,sad
codemao3,stretchingsadness
codemao4,fallingasleep
codemao5,frightened
codemao6,sleepy
codemao7,strange
codemao8,surprised
codemao9,sneeze
codemao10,exciting
codemao11,fightingspirit
codemao12,hardwork
codemao13,question
codemao14,wakeup
codemao15,distress
codemao16,cheaplaugh
codemao17,depressed
codemao18,desire
codemao19,love
codemao20,blink
w_basic_0007-1,wtypemobile
w_basic_0003-1,lookright
w_basic_0005-1,lookleft
w_basic_0010-1,lookup
w_basic_0011-1,lookleftandright
w_basic_0012-1,lookupanddown
emo_007,smile
emo_010,shy
emo_016,smile2
emo_028,coveryourface
emo_008,irritation
emo_014,poor
emo_009,tears
emo_011,crying
emo_023,pain
emo_013,getangry
emo_015,arrogance
emo_026,whiteeyes
emo_022,squeeze
emo_019,hazy
emo_020,daze
emo_027,cool
emo_029,witty
emo_030,crosseyes
emo_031,readingglasses
emo_032,goldenglasses
codemao13,nothing
